#{"t_start": 1690643872.441415, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
75.0,1189,1.335406
120.0,2129,2.015208
105.0,1987,2.648389
110.0,1911,3.251302
135.0,2061,3.923335
125.0,1993,4.570896
155.0,1989,5.20206
325.0,2767,6.062291
180.0,2381,6.812769
405.0,2649,7.634084
225.0,2723,8.485041
285.0,3801,9.665432
180.0,2837,10.555177
80.0,1565,11.050296
55.0,1193,11.429821
80.0,1643,11.95215
210.0,2503,12.747494
185.0,2463,13.525805
430.0,3263,14.534302
155.0,2255,15.234412
260.0,2899,16.122124
155.0,2159,16.790505
125.0,1497,17.257857
155.0,2753,18.106093
120.0,1817,18.670728
170.0,2603,19.472397
155.0,2349,20.193292
50.0,1261,20.587928
230.0,2499,21.361108
90.0,1763,21.908885
90.0,2137,22.571924
90.0,2249,23.262915
105.0,1623,23.76444
135.0,1781,24.317607
210.0,1991,24.929782
55.0,1297,25.330226
180.0,2061,25.963723
185.0,2391,26.698426
185.0,2081,27.337405
140.0,1955,27.944141
190.0,2555,28.729117
130.0,1917,29.322294
35.0,1323,29.732725
155.0,2271,30.43502
130.0,2203,31.114904
135.0,1843,31.687832
120.0,1809,32.244727
120.0,3251,38.045013
110.0,1845,38.616443
90.0,1301,39.02592
115.0,2605,39.830419
210.0,2365,40.563882
120.0,1581,41.055478
120.0,1945,41.660863
65.0,1317,42.069351
80.0,1145,42.427176
125.0,1997,43.052003
65.0,1719,43.595137
80.0,2065,44.23413
75.0,1777,44.783632
115.0,2021,45.410029
225.0,3569,46.498175
355.0,2865,47.383216
155.0,2111,48.035712
80.0,1189,48.411408
540.0,3113,49.365448
105.0,1935,49.967494
150.0,1921,50.569119
165.0,1925,51.1704
120.0,1227,51.555294
125.0,1167,51.918343
330.0,2091,52.570092
120.0,1785,53.127269
110.0,2035,53.758485
135.0,1873,54.345522
155.0,1955,54.953749
130.0,1875,55.539847
155.0,1941,56.142091
105.0,1971,56.752726
110.0,1661,57.267073
120.0,1515,57.737562
175.0,2849,58.61666
135.0,2061,59.256937
30.0,1211,59.632774
75.0,1171,59.999928
15.0,1581,60.493154
120.0,1797,61.051512
50.0,1515,61.524857
110.0,1935,62.12918
130.0,1851,62.706456
120.0,1889,63.295805
180.0,2347,64.02666
80.0,1937,64.627703
175.0,1941,65.229066
125.0,2329,65.950185
80.0,1237,66.336847
425.0,3133,67.300126
255.0,2877,68.187668
170.0,2653,69.004363
485.0,3369,74.393198
100.0,1487,74.861083
160.0,2223,75.555047
85.0,1899,76.146631
155.0,2379,76.890886
80.0,1591,77.388786
155.0,2063,78.026993
215.0,2419,78.772624
180.0,2409,79.520309
195.0,2809,80.383307
395.0,2503,81.159837
135.0,1925,81.759765
100.0,1919,82.36146
290.0,2805,83.231059
110.0,1655,83.748669
240.0,2817,84.621155
210.0,2249,85.321284
45.0,1755,85.870173
145.0,1881,86.456183
80.0,1161,86.818079
210.0,4391,88.153276
210.0,2575,88.949729
210.0,2299,89.663949
210.0,2419,90.413731
40.0,1509,90.885436
105.0,1983,91.508375
125.0,1683,92.036024
105.0,1537,92.519157
185.0,2853,93.401704
210.0,2337,94.127654
90.0,1785,94.683008
55.0,1205,95.05744
50.0,1381,95.489588
180.0,2393,96.2244
80.0,1789,96.780315
30.0,1909,97.378948
135.0,2069,98.021948
50.0,1493,98.485366
110.0,1639,98.990083
80.0,1663,99.504041
175.0,2421,100.246313
255.0,2005,100.864994
180.0,2099,101.518463
410.0,4087,102.75784
180.0,2413,103.506066
155.0,2341,104.234316
125.0,2025,104.866274
325.0,3331,113.025901
150.0,2175,113.705065
200.0,1885,114.298912
80.0,1149,114.662272
155.0,2363,115.397114
180.0,2433,116.156783
65.0,1157,116.523565
40.0,1065,116.86224
75.0,1655,117.383273
120.0,1637,117.900882
155.0,2149,118.575804
80.0,1195,118.952665
490.0,2603,119.755666
120.0,1991,120.382096
80.0,1537,120.863414
185.0,2527,121.652569
260.0,2403,122.399209
155.0,2145,123.071532
140.0,2251,123.776587
410.0,3829,124.971524
315.0,3301,125.993801
105.0,1645,126.512215
320.0,1897,127.105268
125.0,1537,127.585758
60.0,1483,128.05007
60.0,1517,128.525391
55.0,1563,129.019224
135.0,1935,129.628168
180.0,1981,130.241286
55.0,1317,130.658408
75.0,1429,131.108094
155.0,2387,131.856219
105.0,1927,132.460825
215.0,2783,133.33035
120.0,2153,134.007609
125.0,1851,134.5935
120.0,1283,134.991559
180.0,1783,135.555955
75.0,1735,136.101402
215.0,3801,137.280303
320.0,3371,138.318536
120.0,1895,138.915794
135.0,1997,139.549028
105.0,1963,140.167403
180.0,1967,140.780495
210.0,2579,141.586854
60.0,2127,142.254562
155.0,2143,142.925518
135.0,2483,143.701347
235.0,3861,151.291329
35.0,2725,153.614145
320.0,2841,156.034054
95.0,2051,157.787778
90.0,1897,159.405589
65.0,2017,161.130826
160.0,2913,163.636855
675.0,3719,166.79308
320.0,4233,170.399354
200.0,1849,171.965587
390.0,2685,174.266908
200.0,2959,176.831519
135.0,1931,178.479252
295.0,2601,180.696308
265.0,2147,182.511033
480.0,3205,185.191022
765.0,4391,188.885678
255.0,2335,190.835403
400.0,3729,193.951886
220.0,2407,195.995038
205.0,3325,198.823099
175.0,2439,200.900903
165.0,2225,202.804238
400.0,3679,205.869036
210.0,2547,208.045078
165.0,1999,209.721901
220.0,3095,212.296543
185.0,2117,214.090995
115.0,1969,215.755923
165.0,2381,217.778257
180.0,1851,219.334765
65.0,1965,220.993945
260.0,2277,222.923545
215.0,2079,224.647058
110.0,1357,225.787684
265.0,3145,228.449894
